ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	発表ﾌﾟﾚﾐｱﾑ	売却側企業 営業利益(損失)	買収側企業 営業利益(損失)	ﾀｰｹﾞｯﾄ企業 営業利益(損失)	買収側企業 内部留保率	買収側企業 利付き負債(米国以外)	買収側企業 利子負担率	買収側企業 有利子負債	買収側企業 流動負債/総資本	買収側企業 現金比率	買収側企業 総負債/自己資本	買収側企業 財務ﾚﾊﾞﾚｯｼﾞ	ﾀｰｹﾞｯﾄ企業 内部留保率	ﾀｰｹﾞｯﾄ企業 利付き負債(米国以外)	ﾀｰｹﾞｯﾄ企業 利子負担率	ﾀｰｹﾞｯﾄ企業 有利子負債	ﾀｰｹﾞｯﾄ企業 流動負債/総資本	ﾀｰｹﾞｯﾄ企業 現金比率	ﾀｰｹﾞｯﾄ企業 総負債/自己資本	ﾀｰｹﾞｯﾄ企業 財務ﾚﾊﾞﾚｯｼﾞ
さくら銀行	三井住友銀行		44815.05	18.31		5044.11	1683.12	35.2454	1825470					2390.18	24.9047	34.877	357593					3590.93	36.1178
ＮＴＴドコモ	日本電信電話		40268.03	38		15766.4	8614.57	57.9768		96.8534		32.3362	0.13534	195.201	2.76589	67.9206		99.5224		22.4286	0.332095	41.6281	1.42768
ARM Ltd	ソフトバンクグループ		31593.84			76714.2	42.7314	98.1258		95.1571		28.1767	0.525936	347.819	5.48523			85.6599		13.796	1.39074	34.2781	
ＵＦＪホールディングス	三井住友ﾌｨﾅﾝｼｬﾙｸﾞﾙｰﾌﾟ		29900.37	40.26		6707.19	-2553.11	49.2251	1896770					1950.3	20.5074		680323					-33339.6	
ＵＦＪホールディングス	三菱ＵＦＪﾌｨﾅﾝｼｬﾙ･ｸﾞﾙｰﾌﾟ		29798.99	3.68		9938.88	-2553.11	58.5806	2806030					2033.96	21.2251		680323					-33339.6	
住友金属工業	日本製鉄		23791.69	3.96		-476.401	973.361			91.3944		23.3872	0.267363	160.962	2.78045			110.898		28.9602	0.0255226	229.048	3.27007
キオクシア	複数買収者	東芝	19467.88		984.836																		
キオクシア	複数買収者	東芝	17957.62		984.836																		
関西国際空港及び大阪国際空港特定空港運営事業	複数買収者	新関西国際空港	17913.85		246.667																		
キオクシア	複数買収者	東芝	17796.76		984.836																		
ソフトバンク	ソフトバンクグループ	ﾎﾞｰﾀﾞﾌｫﾝ･ｸﾞﾙｰﾌﾟ	17527.54		5549.16	76714.2	9157.39	98.1258		95.1571		28.1767	0.525936	347.819	5.48523	17.3316		92.0679		43.2958	0.314583	626.629	8.76285
りそなホールディングス	日本		16634.71	-16.73			1801.38									61.1684	621753					3071.27	30.5288
イトーヨーカ堂ＳＨＣ	セブン‐イレブン･ジャパン		14594.72	-11.09						98.8268								96.3328					
ＮＫＫ	ＪＦＥスチール		12350.98	3.87		1772.87	552.637	86.0785		221.491		30.0063	0.0309739	210.831	3.11849			13.4523		41.2394	0.0441711	584.767	6.9367
ＪＸ金属	ＥＮＥＯＳ		11766.06	3.87						76.2095								89.4804					
ＫＤＤ	ＫＤＤＩ		11330.13	23.87		9739.8		57.8619		99.2469		33.3771	0.235604	110.844	2.19982								
野村土地建物	野村ホールディングス	"大林組,ジャフコグループ株式会社,楽天損害保険"	11007.73			2175.95		30.0426			348258			1475.36	16.1761								
日本移動通信　　　　 　　　　　　	ＫＤＤＩ		10710.13			9739.8		57.8619		99.2469		33.3771	0.235604	110.844	2.19982								
東海銀行	ＵＦＪホールディングス		10613.8			-2553.11	-829.948		680323					-33339.6			218752					4260.29	39.2458
三菱UFJ信託銀行	三菱ＵＦＪﾌｨﾅﾝｼｬﾙ･ｸﾞﾙｰﾌﾟ		9994.83			9938.88	1554.02	58.5806	2806030					2033.96	21.2251	69.9256	195127					1477.54	16.5005
Unnamed Target	Zホールディングス	"ソフトバンク,Naver[ﾈｲﾊﾞｰ]"	9293.29			1529.34		39.799				30.3725	0.778638	138.204	3.07788								
三井住友信託銀行	三井住友ﾄﾗｽﾄ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ		9200.26	-1.93		1727.77	1479.96	60.4461	474867					2205.79	22.598	61.7296	476591					2575.92	26.2766
昭和電工マテリアルズ	昭和電工		9049.94	17.95		-182.239	212.731			221.72		18.6998	0.457285	365.928	3.62299	61.9109		74.5132		25.6754	0.506309	64.1924	1.67521
"Plzensky Prazdroj AS,Plzensky Prazdroj Slovensko AS,Dreher Sorgyarak Zrt,Ursus Breweries SA,Asahi CE & Europe Services AG,Sabmiller Poland BV,Asahi Brands Europe AS,SABMiller Brands Korea Yuhan Hoesa"	ｱｻﾋｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞｽ	ｱﾝﾊｲｻﾞｰ･ﾌﾞｯｼｭ･ｲﾝﾍﾞﾌﾞ	7755.52		9620	1266.53		44.9077		91.6403		37.2272	0.0318796	192.699	2.74401								
ヒューリック/旧	ヒューリック		7724.29	102.96		942.592	249.243	61.9375		90.9296		4.33182	1.11619	314.559	4.01404	79.7774		75.4605		20.3943	0.132233	360.756	4.65034
藤沢薬品工業	アステラス製薬		6873.04	3.41		1300.87	776.145	35.1956		97.5027		26.054	0.550546	64.0288	1.71526	71.3771		99.723		22.3377	0.949062	35.6636	1.34366
双日(旧)	日商岩井		6458.22	-3.18						246.163													
東燃ゼネラル石油	ＥＮＥＯＳホールディングス		6373.23	0.33		1801.53	747.284	37.8007		93.2769		33.1923	0.152377	228.215	3.46626	73.1362		97.3656		49.8225	0.160686	350.819	4.8189
第一製薬	三共		6190.71	11.33														99.9987					
富士フイルムビジネスイノベーション株式会社	富士フイルムビジネスイノベーション株式会社	富士フイルムホールディングス	6135.7		1560.93	199.78	199.78					39.0704	0.236135	66.1057	1.54246					39.0704	0.236135	66.1057	1.54246
キヤノンメディカルシステムズ	キヤノン	東芝	5976.11		984.836	1035.83				99.775		28.6706	0.307464	71.5165	1.78642								
昭和シェル石油	出光興産		5939.32	1.57		1321.22				96.2964		40.9991	0.0810116	238.008	3.4079			98.8597		54.6402	0.0926909	288.469	3.88874
"ＳＭＢＣ日興証券,国内株式･債券引受業務,日興システムソリューションズ,日興グローバルラップ,日興ビジネスシステムズ"	三井住友ﾌｨﾅﾝｼｬﾙｸﾞﾙｰﾌﾟ	シティグループ	5481.79		13632	6707.19		49.2251	1896770					1950.3	20.5074								
新生フィナンシャル	新生銀行	ｾﾞﾈﾗﾙ･ｴﾚｸﾄﾘｯｸ(GE)	5464.48		-484	418.84		94.2739	79628.9					1063.42	11.4851								
日立金属	日立金属	日立製作所	5454.56		7536.21	-464.232	-464.232			71.8458		32.685	0.31389	98.0518	1.93074			71.8458		32.685	0.31389	98.0518	1.93074
ファミリーマート	複数買収者		5413.13	21.96			-33.1983											-210.681		39.1309	0.214914	214.901	3.2747
カネボウ	産業再生機構		5342.03				-12.5073											99.9588		7.87563	1.28794	20.8089	4.5195
ユニゾホールディングス	複数買収者		5084.69	22.93			1032.18									98.6503		88.7267		19.0084	0.479444	171.346	3.21126
ＥＭＧマーケティング合同会社	東燃ゼネラル石油	ｴｸｿﾝﾓｰﾋﾞﾙ	5020.96		-30653	747.284		73.1362		97.3656		49.8225	0.160686	350.819	4.8189								
日立ハイテク	日立製作所		4898.26	2.09		7536.21	572.357	79.7895		96.4295		38.7833	0.292378	209.747	3.25824	82.6585		99.7558		31.4862	0.954155	58.6089	1.57811
Japan commercial finance operation	三井住友ﾌｨﾅﾝｼｬﾙｸﾞﾙｰﾌﾟ	ｾﾞﾈﾗﾙ･ｴﾚｸﾄﾘｯｸ(GE)	4722.4		-484	6707.19		49.2251	1896770					1950.3	20.5074								
三菱レイヨン	三菱ケミカルホールディングス		4707.36	26.02		300.709	82.5014			81.382		28.2285	0.26626	300.571	4.32957			80.6675		37.9302	0.152867	214.397	3.28702
日本興亜損害保険	損害保険ジャパン日本興亜		4651.16	-0.59		1979.52	484.138							566.26	6.79377	55.8885						406.048	5.15646
ネクソン	Potential Buyer		4624.01				1044.3									92.1238		77.2739		6.72345	9.39314	19.9633	1.18903
田辺三菱製薬	三菱ケミカルホールディングス		4527.15	54.65		300.709	454.465			81.382		28.2285	0.26626	300.571	4.32957	15.9424		98.4234		8.68127	1.21975	16.2604	1.18216
西友	パン・パシフィック・インターナショナルＨＤ	ｳｫﾙﾏｰﾄ	4446.82		22548	763.668	3.68882	81.1573		91.7837		25.8018	0.443306	222.377	3.37257			167.084		79.7932	0.132058	-1013.94	
ワイモバイル	ソフトバンクグループ		4388.57	264.35		76714.2	309.761	98.1258		95.1571		28.1767	0.525936	347.819	5.48523	81.4854		44.9113		24.1573	0.342866	317.083	
大昭和製紙	日本製紙		4236.43	-17.97		397.654	187.277	37.6506				40.8461	0.0246617	255.92				127.335		52.8784	0.166672	1147.92	9.7096
三菱ウェルファーマ	田辺三菱製薬	三菱ケミカルホールディングス	4217.95		300.709	454.465	341.813	15.9424		98.4234		8.68127	1.21975	16.2604	1.18216	73.2977		99.6875		18.5515	0.231792	28.7544	1.35558
三越伊勢丹	伊勢丹		4132.81	11.24		293.404		77.5872		95.7359		44.2768	0.135194	121.31	2.33543			72.7062					
あいおいニッセイ同和損害保険	MS&ADｲﾝｼｭｱﾗﾝｽｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞｽ		4112.65	8.38		3091.52	321.547	39.754						681.147	8.54766							361.313	5.02408
東京電力ホールディングス	原子力損害賠償支援機構		4034.29				1353.27									100		78.4081		29.4829	0.127493	421.13	5.97465
福岡空港特定運営事業等公共施設等運営権	複数買収者	国土交通省	3993.55																				
ﾕﾆｰｸﾞﾙｰﾌﾟ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ	ファミリーマート		3963.53	6.93		-33.1983	185.389			-210.681		39.1309	0.214914	214.901	3.2747			124.203		42.7273	0.205473	247.921	3.37731
ルネサステクノロジ	ルネサスエレクトロニクス	"日立製作所,三菱電機"	3947.72			610.386		100		81.1302		17.8401	0.765685	160.422	2.64679								
Ａホールディングス	複数買収者		3815.22	27.79			-357.754											105.457		29.8621	1.37103	231.886	2.87899
トーメン	豊田通商		3799.14	-34.68		2019.11		70.707		92.1922		41.1002	0.360002	242.913	3.66547			290.501					
常陽銀行	めぶきフィナンシャルグループ		3776.22	-4.11		510.426	362.763	65.0255	195416					2186.02	21.6039	65.915	94832.8					1742.2	17.6166
ファミリーマート	伊藤忠商事		3772.07	21.37		2211.31	-33.1983	67.3624		95.7213		31.799	0.155839	220.373	3.50083			-210.681		39.1309	0.214914	214.901	3.2747
ZOZO	Zホールディングス		3737.5	24.36		1529.34	416.415	39.799				30.3725	0.778638	138.204	3.07788	59.5274		99.8471		51.8718	0.945812	126.538	2.44348
ルネサスエレクトロニクス	INCJ		3735.56				610.386									100		81.1302		17.8401	0.765685	160.422	2.64679
ソニーフィナンシャルホールディングス	ソニーグループ		3668.17	32.5		9059.36	772.572	94.1955		98.389		29.6546	0.600021	371.843	5.09158	17.0114						1967.93	23.3195
阪神電気鉄道	阪急阪神ホールディングス		3618.38	-5.7		19.4888	233.631			1358.11		14.5217	0.0723718	197.318	2.88251	29.5615		83.0554		15.8747	0.0734119	233.711	
カネボウ化粧品	花王	産業再生機構	3534.15			1645.04		46.5777		97.677		25.5403	0.830213	78.752	1.86346								
化粧品事業	産業再生機構	カネボウ	3471.17		-12.5073																		
三菱ＵＦＪ証券ホールディングス	三菱ＵＦＪﾌｨﾅﾝｼｬﾙ･ｸﾞﾙｰﾌﾟ		3390.31	3.85		9938.88	665.016	58.5806	2806030					2033.96	21.2251	67.0668			230478			4683.59	47.773
日本航空/旧	地域経済活性化支援機構		3294.53				-508.423											108.076		37.1226	0.253174	7345	12.0447
Thermal power system business	三菱重工業	日立製作所	3250.44		7536.21	266.58		37.838				48.7506	0.117726	246.742	3.79018								
ＵＦＪ信託銀行	ＵＦＪホールディングス		3237.9			-2553.11			680323					-33339.6									
ジュピターテレコム	複数買収者		3212.31	48.65			895.268									58.7704				18.7636	0.727544	72.4719	1.82457
三菱石油	ＥＮＥＯＳ		3187.98	6.67						76.2095													
ワイモバイル	Zホールディングス	ソフトバンクグループ	3171.5		76714.2	1529.34	309.761	39.799				30.3725	0.778638	138.204	3.07788	81.4854		44.9113		24.1573	0.342866	317.083	
すかいらーく	複数買収者		3167.17	15.82														205.787					
ＵＦＪつばさ証券	三菱ＵＦＪ証券ホールディングス		3134.42	28.41		665.016	154.719	67.0668			230478			4683.59	47.773	67.1826			42318.7			1893.36	17.8411
野村不動産ｵﾌｨｽﾌｧﾝﾄﾞ投資法人	野村不動産ﾏｽﾀｰﾌｧﾝﾄﾞ投資法人		3100.39	-2.32		90.016	102.272	0.000246734		89.8708				55.5921	1.55478			73.8892			0.361651	102.131	1.94892
ダイハツ工業	トヨタ自動車		3098.35	16.95		20731.6	695.157	70.1135		98.9066		34.5245	0.434115	163.017	2.65331	67.4382		98.141		38.6855	0.212873	112.904	2.38842
イー・モバイル	ワイモバイル		3088.72			309.761		81.4854		44.9113		24.1573	0.342866	317.083									
ソフトバンクテレコム	ソフトバンクグループ	Ripplewood Holdings LLC	3047.96			76714.2		98.1258		95.1571		28.1767	0.525936	347.819	5.48523								
三洋電機	パナソニック		3009.26	20.95		2635.17	348.09	71.7308				40.9566	0.56813	157.229	2.84506			56.6134		51.6968	0.39274	1164.81	
日動火災海上保険	東京海上ホールディングス		2975			2719.26	190.098							601.205	7.24594							391.776	4.54843
帝国石油	国際石油開発		2938.63	6.58		3773.55	83.7585	89.9413		98.6396		15.7733	1.19409	80.8784	1.89224	82.2222				9.87109	0.778295	47.7806	1.47123
大和証券キャピタルマーケッツ	大和証券グループ本社	三井住友ﾌｨﾅﾝｼｬﾙｸﾞﾙｰﾌﾟ	2919.82		6707.19	939.887		49.3985			185413			1825.24	19.4883								
田辺三菱製薬	大正製薬		2895.29	6.92		515.815	454.465	78.4707		99.9916		9.67913	2.22894	15.8632	1.17545	15.9424		98.4234		8.68127	1.21975	16.2604	1.18216
パナソニックモバイルコミュニケーションズ	パナソニック		2889.25	12.4		2635.17	-512.727	71.7308				40.9566	0.56813	157.229	2.84506			102.147		35.2725	0.379992	69.8469	1.75054
足利銀行	複数買収者		2808.71				201.765									63.4659	76073.9					2278.69	21.9199
明治	Meiji Seika ファルマ		2786.46	-3.54			204.082			91.4237								91.4321		47.4803	0.0711777	152.327	2.59423
日鉄日新製鋼	日本製鉄		2783.74	41.35		-476.401	160.669			91.3944		23.3872	0.267363	160.962	2.78045	74.7042		121.476		37.673	0.0742148	200.715	3.18468
アイシン・エィ・ダブリュ	アイシン	トヨタ自動車	2750.16		20731.6	1370.93		69.3851		96.485		26.3156	0.552277	147.735	2.84825								
日立キャピタル	三菱HCキャピタル		2720.14	0.33		676.703	366.801	58.9228			42715.4			641.778	7.74444	42.8795						872.923	9.88053
大樹生命保険	日本生命保険		2715.32			4669.57	65.0319	100						890.021	11.3343	100						1265.38	14.1602
7 airport concessions/Hokkaido	複数買収者	"北海道,国土交通省,Unknown Seller"	2704.2																				
UDトラックス	いすゞ自動車	ﾎﾞﾙﾎﾞ	2694.44		2805.5	903.051		48.1315		98.2353		27.7939	0.648681	101.779	2.22667			83.755					
ミノルタ	コニカミノルタ		2669.41	-1.04		-153.439				29.1795		30.7495	0.309815	138.741	2.42237			68.4055					
東燃	東燃ゼネラル石油		2659.61	-15.38		747.284	269.865	73.1362		97.3656		49.8225	0.160686	350.819	4.8189	51.6547				50.8929	0.0487683	187.185	2.92655
コカ･コーラ ボトラーズジャパン	コカ･コーラ ボトラーズジャパンホールディングス		2624.29	15.45		-107.55	133.046			106.568		19.7817	0.617548	87.2154	1.8777	8.41158		99.4415		20.2313	0.369021	51.0926	1.59525
ジャパンディスプレイ	INCJ		2613.7				-247.393											104.386		39.7164	0.62337	-133.468	
住友海上火災保険	三井住友海上火災保険		2578.54	-8.25		1128.63	316.304							405.143	5.34715	65.5631						398.234	6.46265
あおぞら銀行	新生銀行		2566.12	3.97		418.84	367.778	94.2739	79628.9					1063.42	11.4851	50.0587	47064.5					1097.34	12.1651
住友軽金属工業	ＵＡＣＪ		2536.33	-1.23		105.123	117.755			70.6705		34.2652	0.111826	293.077	4.00011			58.8019		50.8027	0.0513214	429.932	5.70367
東京ドーム	三井不動産		2511.56	45.35		1922.19	-102.43	67.3288		88.8521		12.9317	0.183798	198.88	3.04731	77.993		114.156		14.9991	0.535308	241.642	3.08316
大和ハウスリート投資法人	大和ハウスリート投資法人		2508.36	4.84		211.468	55.5153			90.4563			0.62523	83.9369	1.83518	0.00526501		86.8745				104.043	2.05298
太陽生命保険	Ｔ＆Ｄホールディングス		2507.84			965.461	196.869	83.1058						1056.09	12.9191							1456.55	17.2287
三洋電機	パナソニック		2488.44	-29.19		2635.17	348.09	71.7308				40.9566	0.56813	157.229	2.84506			56.6134		51.6968	0.39274	1164.81	
au Corp	ＫＤＤＩ		2453.91			9739.8		57.8619		99.2469		33.3771	0.235604	110.844	2.19982								
Assets for lease	ＵＦＪホールディングス	三菱ＵＦＪニコス	2383.32		-150.893	-2553.11			680323					-33339.6									
三菱製紙	中越パルプ工業		2365.05			-3.27329	-16.6966			80.1105		38.4039	0.328413	160.384	2.54968			234.971		48.0056	0.156164	232.974	3.41634
三菱地所レジデンス	三菱地所		2315.39			2116.73		69.4114		90.9694		10.9088	0.263672	216.565	3.32622			34.2985					
DISTRIBUTION CENTER IN TOKYO	山九	大丸	2310		296.606	320.047		71.729		98.5306		29.3295	0.281253	93.5604	1.99619								
日本ﾚｼﾞﾃﾞﾝｼｬﾙ投資法人	ｱﾄﾞﾊﾞﾝｽ･ﾚｼﾞﾃﾞﾝｽ投資/旧		2305.43	-4.64		22.2569	57.0697			67.1993				140.657	2.40508	0.249768		62.9904				114.979	2.16144
ランディス･ギア	東芝	Hudson Clean Energy Partners LP	2300			984.836		70.1723		97.6459		35.8472	0.41873	188.582	3.27137								
富士フイルムビジネスイノベーション株式会社	富士フイルムホールディングス	ｾﾞﾛｯｸｽ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ	2300		252	1560.93	199.78	77.9371		96.1471		20.1815	0.551171	60.1953	1.65252					39.0704	0.236135	66.1057	1.54246
MCUBS MidCity投資法人	日本都市ファンド投資法人		2271.84	-5.64		257.773	70.4865	5.71739		89.518			0.885719	98.1366	2.02307	4.47178		88.462			0.324949	92.9634	1.95726
住友製薬	大日本住友製薬		2174.28			671.864		80.2131				21.263	0.802374	113.673	2.30378								
東京スター銀行	アドバンテッジパートナーズ		2172.68	10.34			-6.96164										18954.7					1316.81	14.5271
ニッセイ同和損害保険	MS&ADｲﾝｼｭｱﾗﾝｽｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞｽ		2132.51	7.52		3091.52	108.507	39.754						681.147	8.54766	0.784314						441.166	5.67519
"KDDI Shinjuku Building,KDDI Otemachi Building,KDDI Nagoya Building,KDDI Osaka Building"	ＫＤＤＩ	セントラル･タワー･エステート	2097.44			9739.8		57.8619		99.2469		33.3771	0.235604	110.844	2.19982								
ＪＦＥ商事	ｼﾞｪｲ ｴﾌ ｲｰ ﾎｰﾙﾃﾞｨﾝｸﾞｽ		2081.3	3.07		-114.754	262.096			90.4756		24.4688	0.124295	172.39	2.81318	80.7985				79.125	0.0685845	541.769	6.53528
富士フイルム和光純薬	富士フイルムホールディングス		2040.51			1560.93		77.9371		96.1471		20.1815	0.551171	60.1953	1.65252								
ＰＧＭホールディングス	平和		2039.99	32.92		50.0993	110.845			97.1482		15.5472	1.04814	90.0929	1.88928					8.07018	0.662282	194.404	3.08634
積水ﾊｳｽ・ﾚｼﾞﾃﾞﾝｼｬﾙ投資法人	積水ハウス・リート投資法人		2032.73	-3.43		148.214	53.1894			90.5904			0.253366	94.4548	1.93969	0.856388		84.7037			0.37943	107.431	2.12095
ウィルコム	複数買収者	ＫＤＤＩ	2023.36		9739.8																		
住友建設	三井住友建設		2000.33	17.39		147.006	98.654	67.6541		92.3093		50.0669	0.40035	260.256	3.68599	100		79.5956		69.4186		-1741.97	
ランディス･ギア	Potential Buyer	"東芝,INCJ"	2000																				
Sumitovant Biopharma Ltd	大日本住友製薬	Roivant Sciences Ltd	2000			671.864		80.2131				21.263	0.802374	113.673	2.30378								
虎ノ門パストラルホテル	複数買収者	農林漁業団体職員共済組合	1996.03																				
ローソン	三菱商事		1986.87	15.16		304.831	385.954			91.2191		28.8178	0.275802	215.485	3.38238			91.3633		56.228	0.524366	407.701	5.05132
豊田工機	ジェイテクト		1952.31	14.27		121.876	124.864			93.312		28.533	0.331226	128.19	2.41419	80.2154		94.062		34.4889	0.128498	120.15	2.196
三洋電機	パナソニック		1944.53	0.39		2635.17	348.09	71.7308				40.9566	0.56813	157.229	2.84506			56.6134		51.6968	0.39274	1164.81	
三井信託銀行	中央三井信託銀行		1920.09	22.55		442.544	1083.49	79.4233	125837					1534.25	17.8717	83.0127	49658.7					1686.59	18.7241
三菱ウェルファーマ	三菱ケミカル		1910.49	0.47		177.679	341.813			11.9329		54.4752	0.0663026	302.985	4.48878	73.2977		99.6875		18.5515	0.231792	28.7544	1.35558
島忠	ニトリホールディングス		1907.17	27.91		1298.89	88.898	84.9035		99.7536		22.2583	0.806261	38.186	1.33861	67.5802		99.9261		17.014	0.495617	30.7087	1.28186
パナソニック電工	パナソニック		1902.79	29.15		2635.17	804.145	71.7308				40.9566	0.56813	157.229	2.84506	100		93.597		25.3588	0.529026	71.0772	1.75632
ソニー･ミュージックエンタテインメント	ソニーグループ		1896.71	22.28		9059.36		94.1955		98.389		29.6546	0.600021	371.843	5.09158								
キリンファーマ	協和キリン	キリンホールディングス	1865.28		964.359	466.621		49.7395		99.411		10.0774	3.56234	14.7329	1.15189								
三井住友建設	大和証券グループ本社		1860.38			939.887	147.006	49.3985			185413			1825.24	19.4883	67.6541		92.3093		50.0669	0.40035	260.256	3.68599
ワールド	ハーバーホールディングスアルファ		1783.54	14.8			-203.633											110.404		52.5254	0.160501	210.82	3.17213
アコーディア・ゴルフ	ＰＧＭホールディングス		1779.15	46.94		110.845	60.9204					8.07018	0.662282	194.404	3.08634	53.5134		87.0717		38.4074	0.0718824	204.328	3.19519
ユニー	パン・パシフィック・インターナショナルＨＤ	ファミリーマート	1775.12		-33.1983	763.668		81.1573		91.7837		25.8018	0.443306	222.377	3.37257								
ジャパン・リニューアブル・エナジー	ＥＮＥＯＳホールディングス	"シンガポール政府投資公社,ｺﾞｰﾙﾄﾞﾏﾝ･ｻｯｸｽ･ｸﾞﾙｰﾌﾟ"	1763.51			1801.53		37.8007		93.2769		33.1923	0.152377	228.215	3.46626								
パナソニック電工	パナソニック		1717.18	0.66		2635.17	804.145	71.7308				40.9566	0.56813	157.229	2.84506	100		93.597		25.3588	0.529026	71.0772	1.75632
松坂屋ホールディングス	大丸		1717.17	17.1		296.606	61.8345	83.2409		96.0568		54.789	0.160897	252.286	3.78004	87.3834				38.93	0.103248	237.916	
ﾊﾟｼﾌｨｯｸ・ｾﾝﾁｭﾘｰ・ﾌﾟﾚｲｽ 丸の内	ダヴィンチ・ホールディングス	Pacific Century Group	1700			-1209.06				113.414		56.1944	0.124757	-5427.99	424.881								
日本コマーシャル投資法人	ユナイテッド・アーバン投資法人		1667.15	-28.8		165.996	56.3005			90.9853			0.831256	92.4932	1.90842			37.0906				125.729	2.29654
ＳＢＩ証券	ＳＢＩホールディングス		1664.98	5.79		1677.89	583.353	63.8425		81.4504		66.2238	0.278779	1154.83	12.5512	100			35403.3			1761.6	17.1395
サンケイビル	ﾌｼﾞ･ﾒﾃﾞｨｱ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ		1663.34	148.36		153.515	98.0548	18.6214		94.1878		10.4797	1.33854	71.2668	1.7163	82.0748		82.628		15.8327	0.267564	230.532	3.34358
埼玉りそな銀行	りそなホールディングス		1646.94	-10.77		1801.38	369.071	61.1684	621753					3071.27	30.5288	50.9975	167681		62004.3			4389.87	41.4681
ＳＭＢＣフレンド証券	三井住友ﾌｨﾅﾝｼｬﾙｸﾞﾙｰﾌﾟ		1633.38	28.95		6707.19		49.2251	1896770					1950.3	20.5074								
北越コーポレーション	王子ホールディングス		1633.08	22.51		799.862	16.0457	72.0197		93.9709		22.2925	0.304483	148.544	2.67865	83.3616		98.1788		23.4155	0.351063	86.0635	1.88713
エヌ･ティ･ティ都市開発	日本電信電話		1617.47	32.03		15766.4	250.735	57.9768		96.8534		32.3362	0.13534	195.201	2.76589	0.00619003		89.1775		11.0697	0.256803	302.194	4.35364
みずほ証券	みずほフィナンシャルグループ		1616.3	-6.6		5059.09	970.564	59.575	1811950					2335.94	24.7182	100			101023			1627.29	18.4761
りそな･マルハビル	三菱地所	りそなホールディングス	1614.99		1801.38	2116.73		69.4114		90.9694		10.9088	0.263672	216.565	3.32622								
Yahoo! Japan	Zホールディングス	ﾍﾞﾗｲｿﾞﾝ･ｺﾐｭﾆｹｰｼｮﾝｽﾞ	1609.56		28798	1529.34		39.799				30.3725	0.778638	138.204	3.07788								
新宿三井ビルディング	日本ビルファンド投資法人	三井不動産	1608.33		1922.19	319.375				93.9277			2.14968	79.6277	1.85355								
ポリプラスチックス	ダイセル	ｾﾗﾆｰｽﾞ	1575		669	299.247		51.0881		96.2877		17.5779	0.813176	166.232	2.0626								
島忠	ＤＣＭホールディングス		1552.74	37.65		285.661	88.898	73.8195		92.4831		23.8882	0.681711	109.578	2.13061	67.5802		99.9261		17.014	0.495617	30.7087	1.28186
三井住友ファイナンス＆リース	住友商事		1529.91	9.99		-555.441	395.163			71.9685		28.0744	0.240817	212.996	3.19565	62.3338			51072.4			817.514	9.84759
コスモスイニシア	ユニゾンキャピタルパートナーズ		1516.46				22.4131									88.1913		78.7879		52.6928	0.412399	315.161	4.31744
野村不動産ﾚｼﾞﾃﾞﾝｼｬﾙ投資法人	野村不動産ﾏｽﾀｰﾌｧﾝﾄﾞ投資法人		1504.66	-1.4		90.016	33.7822	0.000246734		89.8708				55.5921	1.55478	0.317942		78.26				125.289	2.24267
トップリート投資法人	野村不動産ﾏｽﾀｰﾌｧﾝﾄﾞ投資法人		1499.99	4.03		288.842	29.8903			87.1459			0.712348	92.0272	1.91051	2.41597		158.974				103.888	2.09632
アルフレッサ ホールディングス	メディパルホールディングス		1464.65	0.88		363.892	195.001	63.1447		99.9322		56.7186	0.252569	199.039	3.24842	54.2141		99.7478		59.5393	0.217137	168.805	2.76954
三菱地所レジデンス	三菱地所		1447.55			2116.73		69.4114		90.9694		10.9088	0.263672	216.565	3.32622			34.2985					
バンダイナムコアミューズメント	バンダイ		1440.49	10.02														99.6054					
肥後銀行	鹿児島銀行		1438.47	0.58		97.3969	175.945	49.5436	46628					1500.18	15.768	75.4249	52038.4					1888.7	19.1608
テーブルマークホールディングス	日本たばこ産業		1434.51	37.4		4357.2		11.9319		95.9617		24.5995	0.407046	110.268	2.10865			103.805					
セガ	サミー		1424.15	11.81		921.486		81.029		99.5504		37.7723	0.591311	160.552	2.31004			87.1738					
芝パークビル	複数買収者	Asia Pacific Land BHD	1415.23		-121.86																		
住金物産	日鉄物産		1388.4	2.31		210.142	181.498	67.6101		92.9647		48.3517	0.133105	236.824	3.5391	81.2482		92.1745		72.2586	0.0435766	372.733	5.29639
銀座東芝ビル	東急不動産	東芝	1386.38		984.836	629.017		83.2204		91.8822		18.5885	0.26913	525.325	6.79746								
ココカラファイン	マツキヨココカラ＆カンパニー		1382.27	1.32		297.454	97.6139	66.645		99.8682		23.1073	0.451807	49.84	1.51569	36.0417				25.6083	0.640634	43.7424	1.4643
Matex Inc	モリト		1380			7.99027				99.2842		15.8523	1.4616	36.4954	1.40383								
